Component,Component,Test Case,TC Identifier,Test Type,Estimated Duration (min),Priority,Pass/Fail,LPS Ticket,Tester,Date,Test Name
LPKG,,2a - Undeploy implementation,2a,Manual,,3,,,,,
LPKG,,Test Group 3 - Overriding,,,,,,,,,
LPKG,,Assert lpkg overrides persist subsequent startups (Used for patches/testing),3a,Integration,-,4,,,,,"LPKGOverrideTest (Unit)
LPKGOverrideVerifySecondStartupTest (Int)"
LPKG,,Assert LPKG overrides work on first startup,3b,Integration,-,5,,,,,LPKGOverrideVerifyCleanStartupTest
LPKG,,Revert LPKG override,3c,Integration,-,4,,,,,LPKGRevertOverrideVerifyTest
LPKG,,Test Group 4 - Framework - Persistence,,,,,,,,,
LPKG,,Assert stopped persistence,4a,Integration,-,4,,,,,"LPKGPersistenceTest (Unit)
LPKGPersistenceStopBundleTest (Int)
LPKGPersistenceVerifyTest (Int)"
LPKG,,Test Group 5 - Framework - Controller,,,,,,,,,
LPKG,,Refresh LPKG with stopped inner jar,5a,Integration,-,4,,,,,"LPKGControllerTest (Unit)
LPKGControllerVerifyTest (Int)"
LPKG,,Refresh LPKG with uninstalled inner jar,5b,Integration,-,4,,,,,LPKGControllerVerifyTest (Int)
LPKG,,Refresh LPKG with uninstalled war wrapper bundle (subsequently the war bundle),5c,Integration,-,4,,,,,LPKGControllerVerifyTest (Int)
LPKG,,Refresh war wrapper bundle with stopped war bundle,5d,Integration,-,4,,,,,LPKGControllerVerifyTest (Int)
LPKG,,Refresh war wrapper bundle with uninstalled war bundle,5e,Integration,-,4,,,,,LPKGControllerVerifyTest (Int)
LPKG,,Test Group 6 - Release,,,,,,,,,
LPKG,,Released bundles,6a,Integration,-,5,,,,,LPKGDeployerCleanStartupTest
LPKG,,Test Group 7 - Aggregate LPKG (LPKG within LPKG),,,,,,,,,
LPKG,,Deploying Aggregate LPKG,7a,Integration,-,4,,,,,"LPKGContainerTest
LPKGContainerVerifyTest"
LPKG,,Test Group 8 - Static LPKG,,,,,,,,,
LPKG,,Create a new static bundle,8a,Manual,,3,,,,,
LPKG,,Test Group 9 - Core vs Non-Core LPKGs,,,,,,,,,
LPKG,,Deploy Only Core LPKG,9a,Integration,-,5,,,,,ant > lpkg-base-jdk8
LPKG,,Hot Deploy Non-Core LPKGs,9b,Manual,,5,,,,,https://issues.liferay.com/browse/LRQA-53836
Mobile Device Rules,Mobile Device Rules,,,,,,,,,,
Mobile Device Rules,,Test Group 1 - Basic MDR UI,,,,,,,,,
Mobile Device Rules,,Assert user can add MDR Family,1a,Functional,,5,,,,,MobileDeviceFamilies#AssertMobileDeviceRuleActionOnSitePage
Mobile Device Rules,,Assert user can edit MDR Family,1b,Manual,,5,,,,,
Mobile Device Rules,,Assert user can delete MDR Family,1c,Manual,,4,,,,,
Mobile Device Rules,,Assert user can add MDF Classification Rule,1d,Functional,,5,,,,,MobileDeviceFamilies#AssertMobileDeviceRuleActionOnSitePage
Mobile Device Rules,,Assert user can edit MDF Classification Rule,1e,Manual,,5,,,,,
Mobile Device Rules,,Assert user can delete MDF Classification Rule,1f,Manual,,4,,,,,
Mobile Device Rules,,Test Group 2 - MDR Configuration on Site Page,,,,,,,,,
Mobile Device Rules,,Verify MDR Action Redirect to Site,2a,Functional,,4,,,,,MobileDeviceFamilies#AssertMobileDeviceRuleActionOnSitePage
Mobile Device Rules,,Verify MDR Action Layout Template Modification,2b,Manual,,,,,,,
Mobile Device Rules,,Verify MDR Action Redirect to URL,2c,Manual,,,,,,,
Mobile Device Rules,,Verify MDR Action Theme Modification,2d,Manual,,,,,,,
Mobile Device Rules,,Verify MDR Rule applied to single page,2e,Manual,,,,,,,
Mobile Device Rules,,Verify Multiple MDR Actions applied on page,2f,Manual,,,,,,,
Mobile Device Rules,,Verify MDR Action applied to all public pages,2g,Manual,,,,,,,
